Game_date=20170925;DFS_Salary_date=20170925
MLB_ID;ESPN_ID;Name(LF);Name(FL);Team;H/A;Bats;Active;FD_pos;DK_pos;DD_pos;YH_pos;FD_sal;DK_sal;DD_sal;YH_sal;NP;PA;AB;Hits;2B;3B;HR;Runs;RBI;BB;IBB;SO;HBP;SB;CS;AVG;OBP;SLG;OPS;wOBA;MLB_ID(p);ESPN_ID(p);Pitcher_name(LF);Pitcher_name(FL);P_Team;Throws;game_time;Stadium;FD_sal;DK_sal;DD_sal;YH_sal
571830;31995;Joseph, Tommy;Tommy Joseph;phi;H;R;1;;;;;;;;;8;3;3;2;0;0;0;0;0;0;0;0;0;0;0;.667;.667;.667;1.333;.600;595918;31595;Cole, A.J.;A.J. Cole;wsh;R;7:05 PM EDT;Citizens Bank Park;;;;
514917;31130;Hernandez, Cesar;Cesar Hernandez;phi;H;S;1;4;46;46;;;;;;35;8;8;4;0;0;0;1;1;0;0;2;0;0;0;.500;.500;.500;1.000;.450;595918;31595;Cole, A.J.;A.J. Cole;wsh;R;7:05 PM EDT;Citizens Bank Park;;;;
546318;32868;Herrera, Odubel;Odubel Herrera;phi;H;L;1;7;47;47;7;;;;;32;9;9;0;0;0;0;0;0;0;0;3;0;0;0;.000;.000;.000;.000;.000;595918;31595;Cole, A.J.;A.J. Cole;wsh;R;7:05 PM EDT;Citizens Bank Park;;;;
608384;33266;Williams, Nick;Nick Williams;phi;H;L;1;;;;;;;;;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;.000;.000;.000;.000;.000;595918;31595;Cole, A.J.;A.J. Cole;wsh;R;7:05 PM EDT;Citizens Bank Park;;;;
150029;4262;Werth, Jayson;Jayson Werth;wsh;A;R;1;7;7;7;7;;;;;60;19;19;7;0;0;2;2;7;0;0;6;0;0;0;.368;.368;.684;1.053;.447;605400;33709;Nola, Aaron;Aaron Nola;phi;R;7:05 PM EDT;Citizens Bank Park;;;;
446653;29710;Lobaton, Jose;Jose Lobaton;wsh;A;S;1;2;2;2;2;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.000;.000;.000;.000;.000;605400;33709;Nola, Aaron;Aaron Nola;phi;R;7:05 PM EDT;Citizens Bank Park;;;;
572191;32219;Taylor, Michael A.;Michael A. Taylor;wsh;A;R;1;7;7;7;7;;;;;53;11;10;3;1;0;0;2;1;1;0;4;0;1;0;.300;.364;.400;.764;.341;605400;33709;Nola, Aaron;Aaron Nola;phi;R;7:05 PM EDT;Citizens Bank Park;;;;
622441;33510;Bautista, Rafael;Rafael Bautista;wsh;A;R;1;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.000;.000;.000;.000;.000;605400;33709;Nola, Aaron;Aaron Nola;phi;R;7:05 PM EDT;Citizens Bank Park;;;;
457477;28728;De Aza, Alejandro;Alejandro De Aza;wsh;A;L;1;7;7;7;7;;;;;3;2;1;1;0;0;0;0;1;1;2;0;0;0;0;1.000;1.000;1.000;2.000;.800;605400;33709;Nola, Aaron;Aaron Nola;phi;R;7:05 PM EDT;Citizens Bank Park;;;;
475582;6389;Zimmerman, Ryan;Ryan Zimmerman;wsh;A;R;1;3;35;35;3;;;;;71;17;17;3;1;0;0;2;2;0;0;4;0;0;0;.176;.176;.235;.412;.179;605400;33709;Nola, Aaron;Aaron Nola;phi;R;7:05 PM EDT;Citizens Bank Park;;;;
543685;32098;Rendon, Anthony;Anthony Rendon;wsh;A;R;1;4;45;45;4;;;;;70;18;17;4;0;0;1;4;1;1;0;7;0;0;0;.235;.278;.412;.690;.300;605400;33709;Nola, Aaron;Aaron Nola;phi;R;7:05 PM EDT;Citizens Bank Park;;;;
