Delino DeShields;2543;0.299;0.541;0.237;0.09;6.5; 0.322; 0.614; 0.274; 0.113;9.5
Ian Desmond;6232;0.503;0.874;0.369;0.167;11.9; 0.429; 0.755; 0.326; 0.159;10.7
Aledmys Diaz;2466;0.402;0.725;0.312;0.146;10.9; 0.554; 0.941; 0.393; 0.237;11.7
Elias Diaz;2612;-1;-1;-1;-1;0; 0; 0; 0; 0;3.5
Alex Dickerson;2595;0.383;0.717;0.315;0.116;7.8; 0.477; 0.81; 0.342; 0.223;10.3
Corey Dickerson;7787;0.315;0.589;0.259;0.074;5.7; 0.51; 0.807; 0.334; 0.264;9.9
Derek Dietrich;5230;0.292;0.556;0.248;0.092;4.8; 0.455; 0.852; 0.37; 0.158;8.2
Wilmer Difo;2569;0.474;0.774;0.329;0.211;10.8; 0.333; 0.725; 0.323; 0.051;9.6
Matt Dominguez;5202;0;0.1;0.069;0;1; 0; 0; 0; 0;0
Josh Donaldson;2324;0.519;0.932;0.396;0.24;11.3; 0.558; 0.96; 0.405; 0.272;14.2
Brian Dozier;6275;0.613;0.965;0.397;0.331;12.5; 0.526; 0.862; 0.362; 0.262;13.2
Hunter Dozier;2737;0.25;0.55;0.262;0.125;6.2; 0.273; 0.545; 0.24; 0;9.7
Stephen Drew;6178;0.25;0.485;0.217;0.062;0; 0.559; 0.91; 0.378; 0.283;9.2
Brandon Drury;2605;0.485;0.804;0.339;0.205;10.1; 0.447; 0.779; 0.334; 0.164;9.3
Lucas Duda;7694;0.267;0.454;0.2;0.134;4.5; 0.447; 0.776; 0.328; 0.195;9.3
Matt Duffy;2511;0.359;0.702;0.312;0.098;6.4; 0.357; 0.654; 0.285; 0.1;9.4
Adam Duvall;2459;0.484;0.795;0.335;0.246;11.1; 0.502; 0.795; 0.332; 0.26;11.2
Jarrod Dyson;7697;0.552;1.006;0.432;0.173;19.2; 0.37; 0.698; 0.303; 0.103;9.3
Adam Eaton;7765;0.359;0.726;0.326;0.077;9.8; 0.451; 0.812; 0.35; 0.166;10.5
Brett Eibner;2655;0.4;0.723;0.313;0.187;8.5; 0.318; 0.537; 0.231; 0.14;6.2
A.J. Ellis;2292;0.269;0.566;0.252;0.045;4.6; 0.317; 0.62; 0.275; 0.105;7.2
Jacoby Ellsbury;7588;0.326;0.618;0.271;0.079;8.6; 0.397; 0.744; 0.326; 0.126;9.4
Jake Elmore;4268;0.298;0.705;0.326;0.043;5.7; 0.161; 0.477; 0.243; 0;9.5
Edwin Encarnacion;5132;0.517;0.902;0.385;0.275;10.7; 0.532; 0.881; 0.37; 0.264;13.2
Alcides Escobar;6220;0.32;0.584;0.256;0.098;7.8; 0.36; 0.66; 0.285; 0.087;7.5
Eduardo Escobar;6257;0.306;0.552;0.237;0.099;5.1; 0.353; 0.648; 0.284; 0.104;8.1
Yunel Escobar;6195;0.463;0.845;0.365;0.149;9.2; 0.369; 0.714; 0.314; 0.068;8
Danny Espinosa;6243;0.462;0.712;0.297;0.26;10.7; 0.353; 0.675; 0.293; 0.141;7.8
Andre Ethier;7539;0;0;0;0;0; 0.391; 0.671; 0.274; 0.174;1
Taylor Featherston;2544;0.083;0.298;0.161;0;0; 0.214; 0.357; 0.151; 0.071;9.5
Tim Federowicz;2354;0.545;1.045;0.454;0.09;10.7; 0.1; 0.148; 0.059; 0.05;2.6
Prince Fielder;3149;0.277;0.524;0.234;0.096;9.8; 0.358; 0.667; 0.293; 0.134;7
Cole Figueroa;2488;0.167;0.333;0.146;0;0; 0.15; 0.34; 0.158; 0;9.5
Ryan Flaherty;6272;0.3;0.717;0.335;0;2; 0.321; 0.593; 0.259; 0.117;7.2
Ramon Flores;2447;0.226;0.499;0.229;0;6.9; 0.273; 0.573; 0.257; 0.075;5.6
Wilmer Flores;5234;0.71;1.093;0.455;0.37;12.8; 0.353; 0.642; 0.281; 0.121;7.1
Pedro Florimon;6258;0.4;0.6;0.248;0.2;0; 0.316; 0.566; 0.245; 0.105;8.6
Tyler Flowers;2312;0.398;0.767;0.337;0.14;8.8; 0.431; 0.781; 0.339; 0.154;9.4
Logan Forsythe;4244;0.461;0.775;0.33;0.191;9; 0.439; 0.778; 0.337; 0.176;10.9
Dexter Fowler;7635;0.48;0.876;0.38;0.187;11.1; 0.435; 0.827; 0.363; 0.165;11.6
Maikel Franco;2525;0.524;0.86;0.357;0.238;9.8; 0.4; 0.698; 0.299; 0.154;9.4
Jeff Francoeur;7512;0.414;0.726;0.307;0.143;8; 0.351; 0.636; 0.277; 0.11;8.6
Nick Franklin;6267;0.297;0.554;0.244;0.081;6.7; 0.482; 0.828; 0.354; 0.197;9.8
Adam Frazier;2707;0.417;0.84;0.364;0;13.5; 0.41; 0.753; 0.329; 0.131;7.6
Todd Frazier;4230;0.496;0.803;0.339;0.279;11.6; 0.457; 0.758; 0.323; 0.23;10.8
Freddie Freeman;3194;0.513;0.902;0.384;0.212;9.8; 0.596; 1.001; 0.41; 0.293;13.7
Mike Freeman;2717;0.667;1.417;0.612;0;6; 0.211; 0.411; 0.184; 0.053;4.2
David Freese;5187;0.543;0.963;0.407;0.206;11.9; 0.377; 0.71; 0.315; 0.125;8.1
Eric Fryer;2340;0.333;0.718;0.316;0;7.1; 0.316; 0.64; 0.287; 0.063;5.9
Reymond Fuentes;7800;-1;-1;-1;-1;0; 0.341; 0.705; 0.315; 0.024;5.9
Joey Gallo;2574;0;0.25;0.173;0;0; 0.182; 0.374; 0.184; 0.137;4.1
Freddy Galvis;6261;0.319;0.544;0.233;0.104;8.5; 0.425; 0.715; 0.301; 0.175;8.6
Ben Gamel;2663;0.7;1.162;0.477;0.4;11.4; 0.184; 0.404; 0.188; 0.026;3.8
Adonis Garcia;2568;0.403;0.765;0.332;0.101;7.7; 0.407; 0.7; 0.3; 0.145;9.8
Avisail Garcia;7760;0.374;0.677;0.297;0.152;8.2; 0.389; 0.696; 0.303; 0.137;8
Greg Garcia;2467;0.279;0.577;0.262;0.046;6.8; 0.392; 0.806; 0.356; 0.105;8.1
Leury Garcia;6289;0.176;0.353;0.155;0;3; 0.452; 0.755; 0.322; 0.194;9
Brett Gardner;7624;0.331;0.645;0.286;0.084;9.1; 0.377; 0.745; 0.331; 0.109;9.5
Dustin Garneau;2600;0.308;0.608;0.269;0.077;7.5; 0.405; 0.694; 0.299; 0.167;7.2
Evan Gattis;2373;0.545;0.886;0.366;0.257;12.3; 0.488; 0.795; 0.334; 0.258;9.4
Scooter Gennett;4275;0.375;0.708;0.308;0.115;8.2; 0.42; 0.733; 0.316; 0.156;9.5
Craig Gentry;7663;0.192;0.459;0.222;0.038;3.9; 0.125; 0.25; 0.11; 0;0
Johnny Giavotella;4255;0.278;0.558;0.248;0.02;4.7; 0.414; 0.703; 0.3; 0.153;9.1
Conor Gillaspie;5182;0.364;0.591;0.248;0.137;7.1; 0.45; 0.767; 0.322; 0.184;8.7
Cole Gillespie;7681;0.2;0.478;0.223;0;14.2; 0.444; 0.715; 0.299; 0.194;10.4
Chris Gimenez;2304;0.429;0.736;0.319;0.2;6.4; 0.298; 0.557; 0.246; 0.086;5.1
Tyler Goeddel;2668;0.227;0.448;0.203;0.062;4.9; 0.345; 0.632; 0.278; 0.129;7.2
Ryan Goins;6296;0.194;0.384;0.172;0.027;7.2; 0.333; 0.571; 0.247; 0.143;5.5
Paul Goldschmidt;3217;0.576;1.07;0.449;0.224;14.5; 0.465; 0.85; 0.362; 0.183;12.4
Yan Gomes;2364;0.443;0.74;0.313;0.172;8; 0.282; 0.445; 0.191; 0.155;6.5
Carlos Gomez;7580;0.339;0.63;0.274;0.1;8.3; 0.401; 0.701; 0.304; 0.173;9.2
Adrian Gonzalez;3124;0.31;0.602;0.268;0.066;7.6; 0.488; 0.859; 0.362; 0.185;10.1
Carlos Gonzalez;7617;0.494;0.786;0.331;0.221;9.9; 0.51; 0.883; 0.374; 0.201;11.7
Erik Gonzalez;2416;0.2;0.533;0.262;0;6.2; 0.364; 0.727; 0.319; 0;9
Marwin Gonzalez;6273;0.429;0.724;0.31;0.176;9.1; 0.385; 0.678; 0.292; 0.13;8.7
Brian Goodwin;2688;0.5;0.75;0.311;0.25;0; 0.421; 0.746; 0.321; 0.132;6
Alex Gordon;5158;0.357;0.665;0.296;0.143;9.5; 0.39; 0.704; 0.306; 0.167;8.1
Dee Gordon;6247;0.297;0.579;0.255;0.04;13.8; 0.345; 0.656; 0.286; 0.075;9.6
Anthony Gose;7735;0.12;0.361;0.186;0;6; 0.424; 0.73; 0.314; 0.182;6.9
Tuffy Gosewisch;2380;1;1.444;0.6;0.556;8.5; 0.111; 0.286; 0.144; 0.028;4.6
Phil Gosselin;4277;0.346;0.685;0.304;0.058;9; 0.375; 0.694; 0.302; 0.101;6.7
Yasmani Grandal;2359;0.395;0.78;0.347;0.171;6.8; 0.497; 0.824; 0.351; 0.268;10.3
Curtis Granderson;7492;0.425;0.723;0.312;0.199;10.3; 0.479; 0.826; 0.349; 0.238;10.5
Juan Graterol;2718;0;0;0;0;0; 0.462; 0.769; 0.326; 0.154;5.5
Grant Green;6248;0.5;0.875;0.37;0.179;9.4; 0.167; 0.333; 0.146; 0;6.5
Didi Gregorius;6285;0.473;0.834;0.359;0.149;8.3; 0.437; 0.721; 0.304; 0.179;9
Randal Grichuk;2468;0.488;0.806;0.344;0.248;10.8; 0.477; 0.754; 0.318; 0.237;9.8
Robbie Grossman;7778;0.576;0.994;0.423;0.232;10.8; 0.362; 0.729; 0.329; 0.12;9.5
Yulieski Gurriel;2716;0.317;0.537;0.229;0.097;8.4; 0.416; 0.739; 0.319; 0.135;7.7
Franklin Gutierrez;7523;0.511;0.884;0.378;0.231;9.4; 0.274; 0.456; 0.197; 0.129;11
Brandon Guyer;7706;0.553;1.013;0.437;0.22;10.2; 0.329; 0.631; 0.283; 0.111;7.5
Jedd Gyorko;5214;0.417;0.735;0.32;0.172;9.4; 0.536; 0.836; 0.349; 0.295;11.3
Billy Hamilton;6264;0.31;0.576;0.255;0.089;8.5; 0.356; 0.696; 0.308; 0.081;11.3
Ryan Hanigan;2271;0.107;0.245;0.115;0;2.1; 0.286; 0.548; 0.246; 0.091;7
Mitch Haniger;2729;0.31;0.583;0.249;0.138;8.8; 0.438; 0.76; 0.323; 0.188;8.7
Alen Hanson;2455;0.143;0.286;0.125;0;0; 0.292; 0.599; 0.253; 0.042;8.4
J.J. Hardy;6149;0.452;0.782;0.329;0.183;7.9; 0.392; 0.693; 0.299; 0.123;7.3
Bryce Harper;7701;0.438;0.764;0.322;0.212;11.2; 0.442; 0.833; 0.352; 0.192;11.9
Josh Harrison;4248;0.467;0.81;0.346;0.156;9.7; 0.37; 0.674; 0.29; 0.093;8.6
Jeremy Hazelbaker;2693;0.39;0.585;0.245;0.195;4.2; 0.503; 0.822; 0.342; 0.258;10.1
Chase Headley;5168;0.352;0.686;0.301;0.082;8.7; 0.399; 0.726; 0.315; 0.159;7.9
Ryon Healy;2715;0.552;0.886;0.374;0.239;8.8; 0.515; 0.853; 0.361; 0.213;10.2
Adeiny Hechavarria;6283;0.297;0.57;0.25;0.09;7.8; 0.315; 0.6; 0.258; 0.071;6
Austin Hedges;2565;0.6;1;0.424;0.2;6.2; 0.053; 0.148; 0.076; 0;3.1
Chris Heisey;7668;0.457;0.764;0.326;0.218;7.9; 0.441; 0.722; 0.309; 0.237;9.4
Guillermo Heredia;2678;0.338;0.658;0.293;0.088;9.4; 0.25; 0.669; 0.328; 0;0
Cesar Hernandez;4274;0.399;0.789;0.342;0.058;8.6; 0.391; 0.756; 0.332; 0.112;9
Gorkys Hernandez;7751;0.455;0.788;0.339;0.182;8.6; 0.476; 0.714; 0.298; 0.238;3.1
Enrique Hernandez;2501;0.361;0.668;0.295;0.172;7.8; 0.277; 0.524; 0.234; 0.086;5.5
Marco Hernandez;2637;0.5;1.056;0.467;0;12.5; 0.349; 0.668; 0.296; 0.093;9
Oscar Hernandez;2541;1;1.25;0.504;0.75;0; 0.143; 0.286; 0.125; 0;10.8
Teoscar Hernandez;2726;0.5;0.881;0.379;0.222;9.6; 0.375; 0.632; 0.265; 0.172;7.2
Odubel Herrera;2539;0.278;0.599;0.275;0.042;8.8; 0.467; 0.841; 0.359; 0.164;10.5
Chris Herrmann;2372;0.571;1.071;0.461;0.19;12.4; 0.48; 0.804; 0.338; 0.212;12.4
Jason Heyward;7669;0.286;0.586;0.267;0.079;8; 0.338; 0.647; 0.287; 0.1;8.3
Aaron Hicks;7770;0.271;0.484;0.213;0.11;6; 0.373; 0.691; 0.301; 0.124;7.2
Aaron Hill;5146;0.388;0.745;0.328;0.115;9.9; 0.372; 0.696; 0.304; 0.117;6.1
Bryan Holaday;2367;0.39;0.686;0.293;0.122;7.5; 0.342; 0.616; 0.269; 0.131;6.2
Matt Holliday;7473;0.5;0.797;0.333;0.267;11.9; 0.444; 0.776; 0.336; 0.192;8.9
Brock Holt;6286;0.103;0.342;0.183;0;3; 0.426; 0.762; 0.329; 0.147;8.7
