"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Juan Soto","Nationals","","LF","4.34",".90",".57",".18",".02",".13",".51",".52",".05",".03",".69","1.13","6.67","10.37","7.77","20123"
"Corey Dickerson","Pirates","PIT @ STL","LF","4.31","1.19",".78",".24",".05",".13",".53",".59",".03",".03",".17",".65","6.51","10.17","7.91","10762"
"Joe Mauer","Twins","NYY @ MIN","1B","4.74","1.16",".80",".28",".02",".06",".59",".44",".01",".01",".57",".80","6.55","10.17","7.80","1857"
"Johan Camargo","Braves","ATL @ SF","3B","4.65","1.14",".74",".27",".03",".11",".58",".44",".03",".02",".37",".94","6.49","10.07","7.80","14950"
"Freddie Freeman","Braves","ATL @ SF","1B","4.54","1.17",".79",".26",".03",".10",".50",".48",".04",".03",".39",".86","6.47","10.05","7.82","5361"
"Marcus Semien","Athletics","OAK @ BAL","SS","4.27","1.05",".70",".21",".01",".13",".53",".52",".08",".04",".35",".67","6.46","10.06","7.74","12533"
"Tommy Pham","Rays","CLE @ TB","CF","4.41",".98",".66",".16",".03",".13",".51",".46",".13",".07",".39","1.28","6.46","10.02","7.74","2967"
"Yolmer Sanchez","White Sox","CWS @ KC","3B","4.68","1.14",".80",".22",".07",".05",".57",".43",".10",".06",".36",".72","6.42","9.96","7.78","11602"
"Denard Span","Mariners","SD @ SEA","LF","4.22","1.03",".72",".19",".03",".09",".49",".54",".10",".06",".44",".54","6.45","10.03","7.70","8347"
"Adam Frazier","Pirates","PIT @ STL","DH","4.73","1.22",".86",".24",".04",".08",".52",".38",".10",".06",".33",".57","6.40","9.89","7.84","15223"
"Hunter Renfroe","Padres","SD @ SEA","LF","4.41","1.03",".58",".22",".01",".21",".49",".57",".01",".01",".21","1.16","6.42","10.01","7.68","15464"
"Ryan O'Hearn","Royals","CWS @ KC","1B","4.19",".90",".51",".20",".03",".16",".53",".55",".02",".01",".48","1.01","6.45","10.07","7.56","16442"
"David Fletcher","Angels","TEX @ LAA","SS","4.53","1.25",".91",".26",".03",".05",".63",".40",".11",".08",".19",".44","6.32","9.81","7.77","17992"
"Eduardo Nunez","Red Sox","TOR @ BOS","DH","4.05","1.12",".76",".25",".02",".09",".46",".59",".12",".06",".17",".43","6.32","9.88","7.69","6848"
"Jake Cave","Twins","NYY @ MIN","CF","4.29",".96",".59",".19",".04",".13",".51",".56",".04",".03",".42","1.37","6.40","9.98","7.57","14477"
"Asdrubal Cabrera","Phillies","","2B","4.15","1.01",".61",".22",".01",".16",".51",".57",".02",".01",".35",".79","6.38","9.96","7.57","4962"
"Adam Eaton","Nationals","","LF","4.76","1.10",".76",".21",".04",".08",".54",".34",".09",".05",".48",".94","6.34","9.78","7.65","11205"
"Odubel Herrera","Phillies","WSH @ PHI","CF","4.03","1.05",".69",".19",".03",".14",".46",".54",".07",".03",".30",".83","6.30","9.81","7.58","11476"
"Jose Martinez","Cardinals","PIT @ STL","1B","4.41","1.19",".85",".22",".00",".11",".57",".43",".04",".03",".31",".77","6.28","9.75","7.63","7996"
"Adrian Beltre","Rangers","TEX @ LAA","3B","4.44","1.12",".81",".18",".01",".13",".52",".53",".01",".01",".38",".81","6.26","9.76","7.52","639"
"Wil Myers","Padres","SD @ SEA","RF","4.21",".95",".56",".21",".01",".17",".48",".49",".09",".05",".32","1.21","6.28","9.77","7.50","10047"
"Ozzie Albies","Braves","ATL @ SF","2B","4.23","1.09",".72",".22",".05",".10",".45",".54",".10",".05",".22",".68","6.21","9.68","7.55","16556"
